date,city,loc_name,street,postal_code,latitude,longitude,category,name_event,start_time,end_time,description_short,link_event,link_image,website
15/02/2022,Mannheim,Museum Zeughaus,C5,68159,49.487976,8.46131,Freizeit,Museum Zeughaus,10:00,undefiniert,"
Nach erfolgreicher Tour in den USA kommt die Sensationsausstellung endlich wieder nach Deutschland zurück. Der original- und maßstabsgetreue Nachbau der Grabkammern des Tutanchamun macht den Moment der Entdeckung hautnah erlebb...
",https://www.eventfinder.de/veranstaltung/1517440/tutanchamun-mannheim,https://www.eventfinder.de/bilder/to_images/tutanchamun-tickets-2021.jpg,Eventfinder
15/02/2022,Heidelberg,DAI Heidelberg,Sofienstr. 12,69115,49.407784,8.693927,Vortrag,DAI Heidelberg,20:00,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/2007666/helmut-fink-heidelberg,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
15/02/2022,Worms,Städt. Spiel- und Festhaus,Rathenaustraße 11,67547,49.631702,8.356223,Konzert,Städt. Spiel- und Festhaus,20:00,undefiniert,"
Für The Spirit of Freddie Mercury konnte eine der führende Queen-Tribute-Bands der Welt verpflichtet werden. Mit einzigartiger Authentizität schlüpfen die perfekt eingespielten Musiker in die Rollen von Mercury und seinen Bandk...
",https://www.eventfinder.de/veranstaltung/1741211/the-spirit-of-freddie-mercury-feat-queen-real-tribute-worms,https://www.eventfinder.de/bilder/to_images/the-spirit-of-freddie-mercury-tickets-2021.jpg,Eventfinder
15/02/2022,Heidelberg,Alte Aula der Universität Heidelberg,Grabengasse 1,69117,49.411301,8.706222,Sonstige,Alte Aula der Universität Heidelberg,19:30,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/1988334/oberon-trio-heidelberg,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
15/02/2022,Heidelberg,Alter Saal,Theaterstr. 10,69117,49.410515,8.703363,Theater,Alter Saal,11:00,undefiniert,"
Zu dieser Veranstaltung ist leider keine Beschreibung vorhanden :(
",https://www.eventfinder.de/veranstaltung/2011069/orpheus-ohne-angst-heidelberg,https://www.eventfinder.de/bilder/to_images/theater-heidelberg-logo-tickets-2020.jpg,Eventfinder
16/02/2022,Weinheim,Stadthalle Weinheim,Birkenauer Talstraße 1,69469,49.555302,8.670607,Unterhaltungsshow,Stadthalle Weinheim,20:00,undefiniert,"
Danceperados of Ireland An authentic show of Irish music, song and dance Whiskey you are the devil Tour Die Begeisterung für den Stepptanz ist im Namen dieser neuen irischen Tanzshow festgeschrieben. Frei übersetzt heißt sie ...
",https://www.eventfinder.de/veranstaltung/1982253/danceperados-of-ireland-weinheim,https://www.eventfinder.de/bilder/to_images/danceperados-of-ireland---whiskey-you-are-the-devil--tickets_36120_331497_222x222.jpg,Eventfinder
16/02/2022,Mannheim,Klapsmühl' am Rathaus,"D 6, 3",68159,49.489292,8.46731,Unterhaltungsshow,Klapsmühl' am Rathaus,20:00,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/1709075/drama-light-impro-show-mannheim,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
16/02/2022,Heidelberg,Providenzkirche Heidelberg,Hauptstraße 90a,69117,49.373363,8.747287,Konzert,Providenzkirche Heidelberg,19:30,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/1711212/die-himmlische-nacht-der-tenoere-heidelberg,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
16/02/2022,Heidelberg,Alter Saal,Theaterstr. 10,69117,49.410515,8.703363,Theater,Alter Saal,11:00,undefiniert,"
Zu dieser Veranstaltung ist leider keine Beschreibung vorhanden :(
",https://www.eventfinder.de/veranstaltung/2011070/orpheus-ohne-angst-heidelberg,https://www.eventfinder.de/bilder/to_images/theater-heidelberg-logo-tickets-2020.jpg,Eventfinder
16/02/2022,Viernheim,Rhein-Neckar Zentrum,Bürgermeister-Neff-Straße 14,68519,49.526531,8.56854,Freizeit,Rhein-Neckar Zentrum,10:00,undefiniert,"
Die eindrucksvolle und imposante Ausstellung über die Terrakotta-Armee des großen Kaisers Qin Shi Huang Di mit den originalgetreuen Repliken der legendären Soldaten vermittelt den Besuchern spannende und emotionale Eindrücke au...
",https://www.eventfinder.de/veranstaltung/1962310/die-terrakottaarmee-amp-das-vermaechtnis-des-ewigen-kaisers-viernheim,https://www.eventfinder.de/bilder/to_images/das-vermaechtnis-des-ewigen-kaisers-tickets-2020-222x222.jpg,Eventfinder
16/02/2022,Mannheim,Museum Zeughaus,C5,68159,49.487976,8.46131,Freizeit,Museum Zeughaus,10:00,undefiniert,"
Nach erfolgreicher Tour in den USA kommt die Sensationsausstellung endlich wieder nach Deutschland zurück. Der original- und maßstabsgetreue Nachbau der Grabkammern des Tutanchamun macht den Moment der Entdeckung hautnah erlebb...
",https://www.eventfinder.de/veranstaltung/1517462/tutanchamun-mannheim,https://www.eventfinder.de/bilder/to_images/tutanchamun-tickets-2021.jpg,Eventfinder
17/02/2022,Heidelberg,DAI Heidelberg,Sofienstr. 12,69115,49.407784,8.693927,Vortrag,DAI Heidelberg,20:00,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/2014858/jens-kersten-heidelberg,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
17/02/2022,Heidelberg,Zwinger 1,Zwingerstraße 3-5,69117,49.410664,8.709245,Theater,Zwinger 1,20:00,undefiniert,"
Zu dieser Veranstaltung ist leider keine Beschreibung vorhanden :(
",https://www.eventfinder.de/veranstaltung/2010131/draussen-vor-der-tuer-heidelberg,https://www.eventfinder.de/bilder/to_images/theater-heidelberg-logo-tickets-2020.jpg,Eventfinder
17/02/2022,Weinheim,Cafe Central Weinheim,Bahnhofstraße 19,69469,49.551468,8.668025,Lesung,Cafe Central Weinheim,20:00,undefiniert,"
Ist die Tugendhaftigkeit des sinkenden Testosteronspiegels das natürliche Ende aller Laster? Oder geht es danach noch irgendwie weiter mit dem Spaß – am Leben, am Reisen, am Rauchen? Ist die Lebenserfahrung eines Siebzigjährige...
",https://www.eventfinder.de/veranstaltung/1979641/helge-timmerberg-liest-weinheim,https://www.eventfinder.de/bilder/to_images/kulturzentrum-pumpwerk-tickets_92452_862678_222x222.jpg,Eventfinder
17/02/2022,Mannheim,Klapsmühl' am Rathaus,"D 6, 3",68159,49.489292,8.46731,Comedy,Klapsmühl' am Rathaus,20:00,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/1746445/kabarett-dusche-alles-bleibt-anders-mannheim,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
17/02/2022,Mannheim,Capitol Mannheim,Waldhofstraße 2a,68169,49.497581,8.472683,Comedy,Capitol Mannheim,20:00,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.eventfinder.de/veranstaltung/1634687/gerd-dudenhoeffer-spielt-heinz-becker-mannheim,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Eventfinder
17/02/2022,Mannheim,Museum Zeughaus,C5,68159,49.487976,8.46131,Freizeit,Museum Zeughaus,10:00,undefiniert,"
Nach erfolgreicher Tour in den USA kommt die Sensationsausstellung endlich wieder nach Deutschland zurück. Der original- und maßstabsgetreue Nachbau der Grabkammern des Tutanchamun macht den Moment der Entdeckung hautnah erlebb...
",https://www.eventfinder.de/veranstaltung/1517446/tutanchamun-mannheim,https://www.eventfinder.de/bilder/to_images/tutanchamun-tickets-2021.jpg,Eventfinder
18/02/2022,Mannheim,Museum Zeughaus,C5,68159,49.487976,8.46131,Freizeit,Museum Zeughaus,10:00,undefiniert,"
Nach erfolgreicher Tour in den USA kommt die Sensationsausstellung endlich wieder nach Deutschland zurück. Der original- und maßstabsgetreue Nachbau der Grabkammern des Tutanchamun macht den Moment der Entdeckung hautnah erlebb...
",https://www.eventfinder.de/veranstaltung/1517454/tutanchamun-mannheim,https://www.eventfinder.de/bilder/to_images/tutanchamun-tickets-2021.jpg,Eventfinder
