date,city,loc_name,street,postal_code,latitude,longitude,category,name_event,start_time,end_time,description_short,link_event,link_image,website
14/02/2022,Mannheim,HeimatRock,Neckarstraße 62,68526,49.46255,8.6095161,Sonstige,Valentinstagsedition,18:00,22:00,Freut euch auf unser Valentinstagsmenü! Verbringt einen romantischen Abend in unserem Restaurant oder als Womo Dinner in euren eigenen vier Wänden! Einlass: 17:00 Uhr ... ,https://www.regioactive.de/kulinarisches/valentinstagsedition-ladenburg-heimatrock-2022-02-14-tickets-WK9c7JfGHq,https://storage.googleapis.com/leitmotiv-multi/regio-image-2022-02/1142720/xtralarge/post_valentinstag.jpg,Regioactive
14/02/2022,Mannheim,Schorsch Alm & Alm Garten,Marktplatz 1,64625,49.6811,8.62334,Freizeit,Valentins Fondue Schorschalm,18:00,undefiniert,Herzlich Willkommen zu unserem Fondue Abend in der schönen Schorsch Alm im Herzen Bensheims. Eure Auswahl des Fondue Menüs könnt Ihr am Abend vor Ort treffen. Im Vordergrund ... ,https://www.regioactive.de/freizeit/valentins-fondue-schorschalm-bensheim-schorsch-alm-amp-garten-2022-02-14-tickets-PwHzVXv61k,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2021/fondue-abend-schorsch-alm-tickets-2021-222x222.jpg,Regioactive
14/02/2022,Mannheim,Friedrich 5,Friedrichstr. 5,69117,49.4103586,8.7029911,Sonstige,DTH-Workshop,19:00,undefiniert,Es gibt leider keine Kurzbeschreibung,https://www.giybf.com/,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2020/theater-heidelberg-logo-tickets-2020.png,Regioactive
14/02/2022,Mannheim,Nationaltheater Mannheim - Opernhaus,Goetheplatz 1,68161,49.48818357,8.477790925,Oper,Benefizkonzert zum Valentinstag,19:30,undefiniert,Passend zum Valentinstag widmen sich Sopranistin und ehemaliges Ensemblemitglied Nikola Hillebrand und Bariton Nikola Diskić Hugo Wolfs berühmtem »Italienischen ... ,https://www.regioactive.de/oper/benefizkonzert-zum-valentinstag-mannheim-nationaltheater-opernhaus-2022-02-14-tickets-xwrrcSPdP4,https://storage.googleapis.com/leitmotiv-multi/regio-image-2021-05/1101863/xtralarge/ntm_logo_bildmarke_schwarz.eps.jpg,Regioactive
14/02/2022,Mannheim,Städt. Spiel- und Festhaus,Rathenaustraße 11,67547,49.6307359,8.3560513,Musical,Die Nacht der Musicals,20:00,undefiniert,"Nach erfolgreichen Tourneen und vielen ausverkauften Hallen kommt Die Nacht der Musicals wieder nach Deutschland, Österreich und in die Schweiz. Mit einem immer neuen und ... ",https://www.regioactive.de/musical/die-nacht-der-musicals-worms-staedt-spiel-und-festhaus-2022-02-14-X0GlTZsSLD,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2021/die-nacht-der-musicals-tickets-2021.jpg,Regioactive
14/02/2022,Mannheim,CongressForum,Stephan-Cosacchi-Platz 5,67227,49.52977524,8.353067436,Theater,Chocolat - Rezitation mit Harald Krassnitzer & Ann-Kathrin Kramer,20:00,undefiniert,"Eine himmlische Verführung. mit Ann-Kathrin Kramer, Harald Krassnitzer & Les Manouches Du Tannes Es ist Fastnacht, als Vianne Rocher mit ihrer kleinen Tochter Anouk in das ... ",https://www.regioactive.de/theater/chocolat-rezitation-mit-harald-krassnitzer-ann-kathrin-kramer-frankenthal-congressforum-2022-02-14-tickets-rhP3V6BZG1,https://www.adticket.de/images/event/c/chocolat__annkathrin_kramer__harald_krassnitzer_2021.jpg,Regioactive
14/02/2022,Mannheim,Ella & Louis,Rosengartenplatz 2,68161,49.48508,8.47696,Konzert,My LadySwing,20:00,undefiniert,"My LadySwing – atemberaubender Swing der 20er- 40er Jahre, mitreißende Eigenkompositionen und spannungsgeladenen Elektro-Swing Einlagen – schwungvoll ... ",https://www.regioactive.de/konzert/my-ladyswing-mannheim-ella-louis-2022-02-14-Gym7bMyThx,https://storage.googleapis.com/leitmotiv-multi/regio-image-2022-01/1141136/xtralarge/550e17_50870c8ca7a9447ab712b37708523232_mv2.jpg,Regioactive
14/02/2022,Mannheim,Das Wormser,Rathenaustr. 11,67547,49.63131456,8.35621618,Musical,Die Nacht der Musicals,20:00,undefiniert,Seit über zwanzig Jahren gastiert die erfolgreichste Musicalgala Die Nacht der Musicals jährlich in über 150 Städten in ganz Deutschland und Österreich. Weit über zwei ... ,https://www.regioactive.de/musical/die-nacht-der-musicals-worms-das-wormser-2022-02-14-Vf80v2wP1m,https://image.shutterstock.com/image-photo/concept-image-business-acronym-eod-260nw-332349266.jpg,Regioactive
15/02/2022,Mannheim,TECHNOSEUM,Museumsstr. 1,68165,49.47629615,8.497489952,Kunst,Arbeit & Migration. Geschichten von hier,09:00,17:00,Sonderausstellung Vom Homo Heidelbergensis als „erstem Migranten“ über „Gastarbeiter“ als Motor des Aufschwungs bis hin zu den erfolgreichen Unternehmerinnen und Unternehmern ... ,https://www.regioactive.de/ausstellung/arbeit-migration-geschichten-von-hier-mannheim-technoseum-2022-02-15-pyBND5fRFm,https://storage.googleapis.com/leitmotiv-multi/regio-image-2021-10/1125474/xtralarge/plakat_technoseum_2021d_0084_02.jpg,Regioactive
15/02/2022,Mannheim,Museum Zeughaus,C5,68159,49.48799896,8.461449623,Kunst,Tutanchamun - Sein Grab und die Schätze,10:00,undefiniert,Nach erfolgreicher Tour in den USA kommt die Sensationsausstellung endlich wieder nach Deutschland zurück. Der original- und maßstabsgetreue Nachbau der Grabkammern des ... ,https://www.regioactive.de/ausstellung/tutanchamun-sein-grab-und-die-schaetze-mannheim-museum-zeughaus-2022-02-15-tickets-k5Cn3vXGR8,https://www.eventim.de/obj/media/DE-eventim/teaser/222x222/2021/tutanchamun-tickets-2021.jpg,Regioactive
